category_id,category_name,has_wifi,has_ac,has_parking,avg_report_score,total_bookmarks,total_reports,hour_of_day,day_of_week,capacity_estimate,quiet_label
6,Masjid,0,1,0,4.68,173,47,10,5,1,2
1,Perpustakaan,1,0,0,2.6,6,35,13,4,3,1
6,Masjid,1,1,0,4.09,194,10,14,6,1,2
3,Taman,0,0,1,4.54,24,22,9,0,2,2
5,Kampus,0,0,0,4.49,141,18,9,3,1,1
5,Kampus,1,0,0,2.87,58,49,8,0,3,1
1,Perpustakaan,1,1,0,3.07,41,23,20,5,2,2
6,Masjid,0,1,1,3.39,62,10,11,4,3,1
3,Taman,1,1,1,4.42,58,2,16,6,1,1
4,Coworking,0,0,1,4.65,127,25,16,1,3,2
6,Masjid,1,0,0,3.2,109,37,14,5,3,1
2,Kafe,1,0,0,2.48,39,40,7,6,1,0
6,Masjid,1,0,0,4.04,141,0,20,4,2,2
1,Perpustakaan,1,1,0,3.36,111,10,16,0,2,1
6,Masjid,1,0,1,4.53,160,19,11,4,1,1
5,Kampus,1,0,1,2.06,82,31,22,0,3,0
3,Taman,1,1,0,4.2,20,5,7,1,3,1
1,Perpustakaan,1,1,0,4.62,67,33,21,4,1,2
4,Coworking,1,1,1,3.95,102,42,12,5,2,0
4,Coworking,1,1,0,2.69,150,35,8,2,1,1
2,Kafe,0,1,0,2.71,18,32,8,0,2,2
6,Masjid,1,1,1,2.28,104,12,21,1,2,2
6,Masjid,1,1,0,2.18,165,6,7,5,3,2
6,Masjid,1,1,0,2.55,35,27,12,4,2,0
4,Coworking,0,1,0,4.91,138,0,9,0,3,1
2,Kafe,0,1,0,4.96,97,0,18,0,1,1
3,Taman,1,1,0,4.91,75,13,21,1,1,1
5,Kampus,1,0,0,2.47,128,33,7,4,2,1
5,Kampus,0,0,1,3.74,145,15,13,3,1,0
1,Perpustakaan,1,1,1,4.15,52,42,22,2,2,2
2,Kafe,0,0,1,3.86,2,29,20,2,1,1
5,Kampus,1,0,0,3.11,17,15,14,1,2,2
2,Kafe,1,1,0,4.8,141,19,22,0,3,1
1,Perpustakaan,1,0,0,2.85,39,17,9,5,3,1
2,Kafe,1,0,1,2.28,64,3,14,4,2,0
4,Coworking,1,0,0,3.33,41,47,10,5,2,0
6,Masjid,1,0,0,3.66,94,37,10,4,1,2
4,Coworking,0,0,1,4.0,174,15,7,2,1,1
3,Taman,1,1,0,2.07,45,26,10,1,1,0
6,Masjid,1,1,0,3.15,179,6,13,2,1,1
1,Perpustakaan,1,0,1,2.07,58,14,20,2,2,2
2,Kafe,1,0,0,4.04,130,25,14,2,3,0
5,Kampus,1,0,1,2.33,67,2,14,1,3,0
4,Coworking,1,1,0,2.76,147,12,22,0,2,1
6,Masjid,1,1,1,4.76,17,42,12,2,2,1
5,Kampus,1,1,1,2.98,170,26,15,4,2,0
6,Masjid,0,0,0,3.71,44,39,18,5,3,1
4,Coworking,1,0,0,2.97,155,41,19,6,3,2
4,Coworking,1,0,0,3.99,72,32,11,5,1,1
5,Kampus,1,1,1,2.14,37,1,15,1,1,0
4,Coworking,1,1,0,3.2,98,31,12,5,3,1
2,Kafe,1,0,1,4.41,56,11,9,6,2,0
